Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::string::_M_leak_hard	0.055032	0.055032	0.020012	0.035020	0.0	0.0	0.0	0.0	0.0	64000000	41.7	41.7	2.250000	libstdc++.so.6.0.19	std::string::_M_leak_hard(void)	[Unknown]	0xbe000
std::string::_Rep::_M_clone	0.055032	0.055032	0.040023	0.015009	0.0	0.0	0.0	0.0	0.0	32000000	40.2	40.2	3.500000	libstdc++.so.6.0.19	std::string::_Rep::_M_clone(std::allocator<char> const&, unsigned long)	[Unknown]	0xbe8d0
std::string::append	0.055032	0.055032	0.0	0.055032	0.0	0.0	0.0	0.0	0.0	16000000	0.0	0.0	4.000000	libstdc++.so.6.0.19	std::string::append(std::string const&)	[Unknown]	0xbea20
func@0x4033c0	0.050029	0.050029	0.005003	0.045026	0.0	0.0	0.0	0.0	0.0	80000000	12.5	12.5	3.000000	mscrush_on_general_charge	func@0x4033c0	[Unknown]	0x4033c0
func@0x59c20	0.050029	0.050029	0.010006	0.035020	0.005003	0.0	0.0	0.0	0.0	16000000	7.2	7.2	13.000000	libstdc++.so.6.0.19	func@0x59c20	[Unknown]	0x59c20
__lll_lock_wait_private	0.040023	0.040023	0.0	0.040023	0.0	0.0	0.0	0.0	0.0	16000000	9.4	9.4	10.000000	libc-2.17.so	__lll_lock_wait_private	[Unknown]	0x10c6d0
__memcpy_sse2	0.040023	0.040023	0.025014	0.015009	0.0	0.0	0.0	0.0	0.0	32000000	8.5	8.5	5.500000	libc-2.17.so	__memcpy_sse2	[Unknown]	0x94bd0
fileno	0.040023	0.040023	0.035020	0.005003	0.0	0.0	0.0	0.0	0.0	32000000	37.5	37.5	2.500000	libc-2.17.so	fileno	[Unknown]	0x77130
std::string::_S_construct<char*>	0.040023	0.040023	0.020012	0.020012	0.0	0.0	0.0	0.0	0.0	112000000	26.8	26.8	1.000000	libstdc++.so.6.0.19	char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&, std::forward_iterator_tag)	[Unknown]	0xbf350
std::string::string	0.040023	0.040023	0.010006	0.030017	0.0	0.0	0.0	0.0	0.0	96000000	6.7	6.7	2.333333	libstdc++.so.6.0.19	std::string::string(char const*, std::allocator<char> const&)	[Unknown]	0xbf960
__read	0.035020	0.0	0.0	0.0	0.0	0.0	0.0	0.035020	0.0	16000000	75.0	75.0	5.000000	libpthread-2.17.so	__read	[Unknown]	0xe730
round_and_return	0.035020	0.035020	0.025014	0.010006	0.0	0.0	0.0	0.0	0.0	112000000	31.3	31.3	1.285714	libc-2.17.so	round_and_return	[Unknown]	0x3bc30
std::string::_Rep::_M_destroy	0.035020	0.035020	0.015009	0.020012	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	std::string::_Rep::_M_destroy(std::allocator<char> const&)	[Unknown]	0xbddc0
std::string::_S_construct<char const*>	0.035020	0.035020	0.020012	0.015009	0.0	0.0	0.0	0.0	0.0	176000000	42.6	42.6	1.000000	libstdc++.so.6.0.19	char* std::string::_S_construct<char const*>(char const*, char const*, std::allocator<char> const&, std::forward_iterator_tag)	[Unknown]	0xbf540
func@0x594c0	0.030017	0.030017	0.005003	0.025014	0.0	0.0	0.0	0.0	0.0	112000000	35.2	35.2	2.285714	libstdc++.so.6.0.19	func@0x594c0	[Unknown]	0x594c0
func@0x7c3b0	0.030017	0.030017	0.0	0.030017	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	func@0x7c3b0	[Unknown]	0x7c3b0
std::_Hash_bytes	0.030017	0.030017	0.015009	0.015009	0.0	0.0	0.0	0.0	0.0	160000000	26.8	26.8	0.700000	libstdc++.so.6.0.19	std::_Hash_bytes(void const*, unsigned long, unsigned long)	[Unknown]	0x5f030
std::codecvt<char, char, __mbstate_t>::do_always_noconv	0.030017	0.030017	0.025014	0.005003	0.0	0.0	0.0	0.0	0.0	16000000	11.7	11.7	8.000000	libstdc++.so.6.0.19	std::codecvt<char, char, __mbstate_t>::do_always_noconv(void) const	[Unknown]	0x6a9f0
std::string::string	0.030017	0.030017	0.010006	0.020012	0.0	0.0	0.0	0.0	0.0	64000000	23.4	23.4	3.000000	libstdc++.so.6.0.19	std::string::string(std::string const&, unsigned long, unsigned long)	[Unknown]	0xbf410
__memset_sse2	0.025014	0.025014	0.010006	0.010006	0.005003	0.0	0.0	0.0	0.0	16000000	0.0	0.0	8.000000	libc-2.17.so	__memset_sse2	[Unknown]	0x8fa00
__mpn_lshift	0.025014	0.025014	0.015009	0.010006	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	__mpn_lshift	[Unknown]	0x46880
func@0x5ab00	0.025014	0.025014	0.015009	0.010006	0.0	0.0	0.0	0.0	0.0	16000000	93.8	93.8	2.000000	libstdc++.so.6.0.19	func@0x5ab00	[Unknown]	0x5ab00
log	0.025014	0.025014	0.0	0.025014	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	1.000000	libm-2.17.so	log	[Unknown]	0x26310
std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, long, __gnu_cxx::__ops::_Iter_less_iter>.constprop.300	0.025014	0.025014	0.020012	0.005003	0.0	0.0	0.0	0.0	0.0	48000000	37.5	37.5	1.666667	mscrush_on_general_charge	void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, long, __gnu_cxx::__ops::_Iter_less_iter).constprop.300	[Unknown]	0x408240
std::vector<Core::Peak, std::allocator<Core::Peak>>::_M_realloc_insert<Core::Peak const&>	0.025014	0.025014	0.0	0.025014	0.0	0.0	0.0	0.0	0.0	96000000	53.6	53.6	1.166667	mscrush_on_general_charge	void std::vector<Core::Peak, std::allocator<Core::Peak>>::_M_realloc_insert<Core::Peak const&>(__gnu_cxx::__normal_iterator<Core::Peak*, std::vector<Core::Peak, std::allocator<Core::Peak>>>, Core::Peak const&&&)	[Unknown]	0x40cef0
__GI_strlen	0.020012	0.020012	0.015009	0.005003	0.0	0.0	0.0	0.0	0.0	32000000	0.0	0.0	4.000000	libc-2.17.so	__GI_strlen	[Unknown]	0x8ce60
__lll_unlock_wake_private	0.020012	0.020012	0.0	0.020012	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libc-2.17.so	__lll_unlock_wake_private	[Unknown]	0x10c700
__mpn_construct_float	0.020012	0.020012	0.015009	0.005003	0.0	0.0	0.0	0.0	0.0	16000000	46.9	46.9	2.000000	libc-2.17.so	__mpn_construct_float	[Unknown]	0x47d80
__strlen_sse2_pminub	0.020012	0.020012	0.010006	0.010006	0.0	0.0	0.0	0.0	0.0	112000000	31.3	31.3	0.857143	libc-2.17.so	__strlen_sse2_pminub	[Unknown]	0x16f7a0
std::__basic_file<char>::fd	0.020012	0.020012	0.015009	0.005003	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.19	std::__basic_file<char>::fd(void)	[Unknown]	0x7c4f0
