         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    37681    0.095    0.000    0.105    0.000 queue.py:208(_qsize)
    35870    0.095    0.000    0.095    0.000 spectrum.py:42(_norm_intensity)
    24292    0.091    0.000    1.031    0.000 __init__.py:36(__init__)
   140360    0.090    0.000    0.192    0.000 threading.py:249(__exit__)
   140360    0.090    0.000    0.140    0.000 threading.py:246(__enter__)
   191351    0.089    0.000    0.140    0.000 swigfaiss.py:5699(swig_ptr)
     6073    0.089    0.000   44.491    0.007 pool.py:302(_repopulate_pool)
    35876    0.089    0.000    0.141    0.000 <__array_function__ internals>:2(swapaxes)
84774/82587    0.086    0.000    1.358    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    18219    0.086    0.000    0.120    0.000 reduction.py:38(__init__)
     1531    0.086    0.000    0.086    0.000 {method 'read' of '_io.BufferedReader' objects}
   119800    0.085    0.000    0.384    0.000 values.py:232(_set_name)
   377575    0.084    0.000    0.084    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   280398    0.084    0.000    0.096    0.000 {built-in method _abc._abc_instancecheck}
     6098    0.082    0.000    0.082    0.000 {built-in method math.ceil}
    12161    0.082    0.000    0.082    0.000 context.py:233(get_context)
    61441    0.082    0.000    0.082    0.000 {method 'update' of 'dict' objects}
   141732    0.082    0.000    0.110    0.000 event.py:254(on_end)
    72625    0.081    0.000    0.081    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    18219    0.081    0.000    4.477    0.000 queues.py:360(put)
    22477    0.080    0.000    0.086    0.000 sre_parse.py:254(get)
    35841    0.080    0.000    0.080    0.000 {built-in method faiss._swigfaiss.IndexIDMap_add_with_ids}
    35841    0.079    0.000    0.224    0.000 __init__.py:196(replacement_add_with_ids)
   377952    0.079    0.000    0.119    0.000 file_helpers.py:126(__getattr__)
    46768    0.079    0.000    0.126    0.000 threading.py:341(notify)
279199/279041    0.079    0.000    0.082    0.000 {built-in method builtins.hasattr}
    12254    0.078    0.000    0.083    0.000 _asarray.py:110(asanyarray)
    72610    0.077    0.000    0.077    0.000 {built-in method numpy.frombuffer}
    18304    0.076    0.000    1.182    0.000 connection.py:181(send_bytes)
        1    0.076    0.076    0.076    0.076 {built-in method numexpr.interpreter._set_num_threads}
   401796    0.074    0.000    0.074    0.000 {built-in method unicodedata.east_asian_width}
     6073    0.073    0.000  142.468    0.023 spectrum.py:213(to_vector_parallel)
     4122    0.073    0.000    0.304    0.000 {built-in method builtins.sum}
    23256    0.073    0.000    0.239    0.000 pool.py:744(__init__)
    54366    0.073    0.000    0.086    0.000 contextlib.py:82(__init__)
138133/131181    0.073    0.000    0.099    0.000 abstract.py:120(__eq__)
    66182    0.073    0.000    0.482    0.000 event.py:388(end_event)
   119800    0.071    0.000    0.300    0.000 _utils.py:16(register)
   283464    0.070    0.000    0.070    0.000 event.py:122(is_start)
   2405/1    0.070    0.000  230.781  230.781 {built-in method builtins.exec}
